OMC_FLYWHEEL_TABLE,OMC_FLYWHEEL_COLUMN,FUNCTION_DESCRIPTION,OPUS_COLUMN,ELEMENT_NUMBER
IBE_02_A,ibe3749,Buying Activity - Weeks Since Last Order - Outdoor Accessories/Furniture ,IBE3749,3749
IBE_02_A,ibe3750,Buying Activity - Dollars - Outdoor Accessories/Furniture ,IBE3750,3750
IBE_02_A,ibe3751,Buying Activity - Outdoor Accessories/Furniture ,IBE3751,3751
IBE_02_A,ibe3752,Buying Activity - Number of Orders - Linens ,IBE3752,3752
IBE_02_A,ibe3753,Buying Activity - Weeks Since Last Order - Linens ,IBE3753,3753
IBE_02_A,ibe3754,Buying Activity - Dollars - Linens ,IBE3754,3754
IBE_02_A,ibe3755,Buying Activity - Linens ,IBE3755,3755
IBE_02_A,ibe3756,Buying Activity - Number of Orders – Household Goods ,IBE3756,3756
IBE_02_A,ibe3757,Buying Activity - Weeks Since Last Order - Household Goods ,IBE3757,3757
IBE_02_A,ibe3758,Buying Activity - Dollars - Household Goods ,IBE3758,3758
IBE_02_A,ibe3759,Buying Activity - Household Goods ,IBE3759,3759
IBE_02_A,ibe3760,Buying Activity - Number of Orders – Health Supplements ,IBE3760,3760
IBE_02_A,ibe3761,Buying Activity - Weeks Since Last Order - Health Supplements ,IBE3761,3761
IBE_02_A,ibe3762,Buying Activity - Dollars - Health Supplements ,IBE3762,3762
IBE_02_A,ibe3763,Buying Activity - Health Supplements ,IBE3763,3763
IBE_02_A,ibe3804,Ethnic Group - Person,IBE3804,3804
IBE_02_A,ibe3805,Race Code (Low Detail) - Person,IBE3805,3805
IBE_02_A,ibe3806,Country of Origin (High Detail) - Person,IBE3806,3806
IBE_02_A,ibe3807,Hispanic Language Preference - Person,IBE3807,3807
IBE_02_A,ibe4100,Consumer Prominence Indicator - Person,IBE4100,4100
IBE_02_A,ibe4101,Consumer Prominence Indicator - Household,IBE4101,4101
IBE_02_A,ibe4102,Consumer Prominence Indicator - Residency,IBE4102,4102
IBE_03,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_03,ibe6138,Apparel - General,IBE6138,6138
IBE_03,ibe6142,Category - Apparel - Women's - Plus Sizes,IBE6142,6142
IBE_03,ibe6143,Super Category - Apparel - General,IBE6143,6143
IBE_03,ibe6145,"Super Category - Appliances, Home Improvement, Outdoor",IBE6145,6145
IBE_03,ibe6149,Art,IBE6149,6149
IBE_03,ibe6151,Category - Arts and Antiques - Art,IBE6151,6151
IBE_03,ibe6152,Collectibles - Arts and Antiques - General,IBE6152,6152
IBE_03,ibe6154,Automotive Assessories/Parts/Supplies/Cleaners,IBE6154,6154
IBE_03,ibe6155,Automotive Accessories,IBE6155,6155
IBE_03,ibe6156,Automotive Accessories/Parts,IBE6156,6156
IBE_03,ibe6157,Automotive Parts/Supplies,IBE6157,6157
IBE_03,ibe6197,Books - General,IBE6197,6197
IBE_03,ibe6200,Category - Books and Magazines - Music Books,IBE6200,6200
IBE_03,ibe6253,Children's Products - General,IBE6253,6253
IBE_03,ibe6269,Collectibles - Dolls,IBE6269,6269
IBE_03,ibe6294,Crafts/Hobbies - General,IBE6294,6294
IBE_03,ibe6314,Category - DVDs/Videos,IBE6314,6314
IBE_03,ibe6317,Electronics,IBE6317,6317
IBE_03,ibe6329,Category - Electronics and Computing - Software,IBE6329,6329
IBE_03,ibe6331,"Super Category - Electronics, Computing and Home Office",IBE6331,6331
IBE_03,ibe6358,Fishing Supplies,IBE6358,6358
IBE_03,ibe6362,Food/Beverages,IBE6362,6362
IBE_03,ibe6379,Gardening Supplies,IBE6379,6379
IBE_03,ibe6380,Category - Gardening,IBE6380,6380
IBE_03,ibe6398,Super Category - Gifts/Holiday Items,IBE6398,6398
IBE_03,ibe6422,Golfing Equipment and Gifts,IBE6422,6422
IBE_03,ibe6425,Health and Beauty,IBE6425,6425
IBE_03,ibe6456,Super Category - Children's Products - General,IBE6456,6456
IBE_03,ibe6503,Home Furnishings - General,IBE6503,6503
IBE_03,ibe6504,Category - Home Furnishings,IBE6504,6504
IBE_03,ibe6537,Category - Lifestyle - Interests and Passions - Collectibles,IBE6537,6537
IBE_03,ibe6538,Category - Lifestyle - Interests and Passionsrafts/Hobbies,IBE6538,6538
IBE_03,ibe6541,"Super Category - Lifestyles, Interests and Passions",IBE6541,6541
IBE_03,ibe6579,Membership Clubs - General,IBE6579,6579
IBE_03,ibe6580,Category - Membership Clubs,IBE6580,6580
IBE_03,ibe6617,Music - General,IBE6617,6617
IBE_03,ibe6727,Super Category - Other Merchandise/Services,IBE6727,6727
IBE_03,ibe6739,Pets,IBE6739,6739
IBE_03,ibe6740,Super Category - Pets,IBE6740,6740
IBE_03,ibe6791,Sports and Leisure,IBE6791,6791
IBE_03,ibe6793,Super Category - Sports and Leisure,IBE6793,6793
IBE_03,ibe6794,Category - Sports and Leisure,IBE6794,6794
IBE_03,ibe6818,Travel - General,IBE6818,6818
IBE_03,ibe6819,Category - Travel,IBE6819,6819
IBE_03,ibe6820,Super Category - Travel and Entertainment,IBE6820,6820
IBE_03,ibe6829,Videos/DVDs - General,IBE6829,6829
IBE_03,ibe6880,Women's Apparel - General,IBE6880,6880
IBE_03,ibe7110,Economic Stability Indicator (Financial),IBE7110,7110
IBE_03,ibe7200,Age in One-Year Increments - Person,IBE7200,7200
IBE_03,ibe7271,Affluent Couples No Kids,IBE7271,7271
IBE_03,ibe7272,Affluent Homes,IBE7272,7272
IBE_03,ibe7273,Affluent Parents,IBE7273,7273
IBE_03,ibe7274,Affluent Parents of Teens,IBE7274,7274
IBE_03,ibe7275,Affluent Moms of Young Children,IBE7275,7275
IBE_03,ibe7276,Affluent Seniors,IBE7276,7276
IBE_03,ibe7277,Affluent Bachelors,IBE7277,7277
IBE_03,ibe7278,Affluent Bachelorettes,IBE7278,7278
IBE_03,ibe7279,Affluent Travelers,IBE7279,7279
IBE_03,ibe7280,Moms with Big Families,IBE7280,7280
IBE_03,ibe7281,Concert Goers,IBE7281,7281
IBE_03,ibe7282,Calorie Conscious,IBE7282,7282
IBE_03,ibe7283,DIY Fixer Uppers,IBE7283,7283
IBE_03,ibe7284,Family Travelers,IBE7284,7284
IBE_03,ibe7285,Fashionistas,IBE7285,7285
IBE_03,ibe7286,Fitness Warriors,IBE7286,7286
IBE_03,ibe7287,Gadget Hobbyists,IBE7287,7287
IBE_03,ibe7288,Health Enthusiasts,IBE7288,7288
IBE_03,ibe7289,Affluent Households,IBE7289,7289
IBE_03,ibe7290,Calorie Conscious Cooks,IBE7290,7290
IBE_03,ibe7291,Luxury Fashionistas,IBE7291,7291
IBE_03,ibe7292,Moms of College Students,IBE7292,7292
IBE_03,ibe7293,Moms of Elementary Students,IBE7293,7293
IBE_03,ibe7294,Moms of High School Students,IBE7294,7294
IBE_03,ibe7295,Moms of Middle School Students,IBE7295,7295
IBE_03,ibe7296,Motorcycle Tourists,IBE7296,7296
IBE_03,ibe7297,Music Buyers,IBE7297,7297
IBE_03,ibe7298,Music Device Buyers,IBE7298,7298
IBE_03,ibe7300,First-time Parents,IBE7300,7300
IBE_03,ibe7301,Parents of Infants to Toddlers,IBE7301,7301
IBE_03,ibe7302,Snow Ski Vacationer,IBE7302,7302
IBE_03,ibe7303,Soccer Moms,IBE7303,7303
IBE_03,ibe7304,Video Gamers,IBE7304,7304
IBE_03,ibe7305,Smart Home Enthusiasts,IBE7305,7305
IBE_03,ibe7306,Fitness Trackers,IBE7306,7306
IBE_03,ibe7307,Millennial Moms,IBE7307,7307
IBE_03,ibe7309,Bargain Shoppers,IBE7309,7309
IBE_03,ibe7467,Recent Home Buyer,IBE7467,7467
IBE_03,ibe7468,Recent Mortgage Borrower,IBE7468,7468
IBE_03,ibe7469,New Parent,IBE7469,7469
IBE_03,ibe7470,Child Near High School Graduation in Household,IBE7470,7470
IBE_03,ibe7473,Entering Adulthood,IBE7473,7473
IBE_03,ibe7478,New Mover,IBE7478,7478
IBE_03,ibe7480_01,Probable New Teen Driver - Age Indicator,IBE7480_01,7480_01
IBE_03,ibe7480_02,Probable New Teen Driver - Gender,IBE7480_02,7480_02
IBE_03,ibe7480_03,Probable New Teen Driver - Urbanicity,IBE7480_03,7480_03
IBE_03_A,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_03_A,ibe7600_01,Adult Age Ranges Present - 18 to 24 Male - 100%,IBE7600_01,7600_01
IBE_03_A,ibe7600_02,Adult Age Ranges Present - 18 to 24 Female - 100%,IBE7600_02,7600_02
IBE_03_A,ibe7600_03,Adult Age Ranges Present - 18 to 24 Unknown Gender - 100%,IBE7600_03,7600_03
IBE_03_A,ibe7600_04,Adult Age Ranges Present - 25 to 34 Male - 100%,IBE7600_04,7600_04
IBE_03_A,ibe7600_05,Adult Age Ranges Present - 25 to 34 Female - 100%,IBE7600_05,7600_05
IBE_03_A,ibe7600_06,Adult Age Ranges Present - 25 to 34 Unknown Gender - 100%,IBE7600_06,7600_06
IBE_03_A,ibe7600_07,Adult Age Ranges Present - 35 to 44 Male - 100%,IBE7600_07,7600_07
IBE_03_A,ibe7600_08,Adult Age Ranges Present - 35 to 44 Female - 100%,IBE7600_08,7600_08
IBE_03_A,ibe7600_09,Adult Age Ranges Present - 35 to 44 Unknown Gender - 100%,IBE7600_09,7600_09
IBE_03_A,ibe7600_10,Adult Age Ranges Present - 45 to 54 Male - 100%,IBE7600_10,7600_10
IBE_03_A,ibe7600_11,Adult Age Ranges Present - 45 to 54 Female - 100%,IBE7600_11,7600_11
IBE_03_A,ibe7600_12,Adult Age Ranges Present - 45 to 54 Unknown Gender - 100%,IBE7600_12,7600_12
IBE_03_A,ibe7600_13,Adult Age Ranges Present - 55 to 64 Male - 100%,IBE7600_13,7600_13
IBE_03_A,ibe7600_14,Adult Age Ranges Present - 55 to 64 Female - 100%,IBE7600_14,7600_14
IBE_03_A,ibe7600_15,Adult Age Ranges Present - 55 to 64 Unknown Gender - 100%,IBE7600_15,7600_15
IBE_03_A,ibe7600_16,Adult Age Ranges Present - 65 to 74 Male - 100%,IBE7600_16,7600_16
IBE_03_A,ibe7600_17,Adult Age Ranges Present - 65 to 74 Female - 100%,IBE7600_17,7600_17
IBE_03_A,ibe7600_18,Adult Age Ranges Present - 65 to 74 Unknown Gender - 100%,IBE7600_18,7600_18
IBE_03_A,ibe7600_19,Adult Age Ranges Present - 75 or over Male - 100%,IBE7600_19,7600_19
IBE_03_A,ibe7600_20,Adult Age Ranges Present - 75 or over Female - 100%,IBE7600_20,7600_20
IBE_03_A,ibe7600_21,Adult Age Ranges Present - 75 and over Unknown Gender - 100%,IBE7600_21,7600_21
IBE_03_A,ibe7600_22,Adult Age Ranges Present - 100% - Precision Level,IBE7600_22,7600_22
IBE_03_A,ibe7601_01,Children's Age Ranges Present - 00 to 02 Male - 100%,IBE7601_01,7601_01
IBE_03_A,ibe7601_02,Children's Age Ranges Present - 00 to 02 Female - 100%,IBE7601_02,7601_02
IBE_03_A,ibe7601_03,Children's Age Ranges Present - 00 to 02 Unknown Gender - 100%,IBE7601_03,7601_03
IBE_03_A,ibe7601_04,Children's Age Ranges Present - 03 to 05 Male - 100%,IBE7601_04,7601_04
IBE_03_A,ibe7601_05,Children's Age Ranges Present - 03 to 05 Female - 100%,IBE7601_05,7601_05
IBE_03_A,ibe7601_06,Children's Age Ranges Present - 03 to 05 Unknown Gender - 100%,IBE7601_06,7601_06
IBE_03_A,ibe7601_07,Children's Age Ranges Present - 06 to 10 Male - 100%,IBE7601_07,7601_07
IBE_03_A,ibe7601_08,Children's Age Ranges Present - 06 to 10 Female - 100%,IBE7601_08,7601_08
IBE_03_A,ibe7601_09,Children's Age Ranges Present - 06 to 10 Unknown Gender- 100%,IBE7601_09,7601_09
IBE_03_A,ibe7601_10,Children's Age Ranges Present - 11 to 15 Male - 100%,IBE7601_10,7601_10
IBE_03_A,ibe7601_11,Children's Age Ranges Present - 11 to 15 Female - 100%,IBE7601_11,7601_11
IBE_03_A,ibe7601_12,Children's Age Ranges Present - 11 to 15 Unknown Gender - 100%,IBE7601_12,7601_12
IBE_03_A,ibe7601_13,Children's Age Ranges Present - 16 to 17 Male - 100%,IBE7601_13,7601_13
IBE_03_A,ibe7601_14,Children's Age Ranges Present - 16 to 17 Female - 100%,IBE7601_14,7601_14
IBE_03_A,ibe7601_15,Children's Age Ranges Present - 16 to 17 Unknown Gender - 100%,IBE7601_15,7601_15
IBE_03_A,ibe7601_16,Children's Age Ranges Present - 100% - Precision Level,IBE7601_16,7601_16
IBE_03_A,ibe7602_01,Number of Children - 100%,IBE7602_01,7602_01
IBE_03_A,ibe7602_02,Number of Children - 100% - Precision Level,IBE7602_02,7602_02
IBE_03_A,ibe7606_01,Home Owner / Renter - 100%,IBE7606_01,7606_01
IBE_03_A,ibe7606_02,Home Owner / Renter - 100% - Precision Level,IBE7606_02,7606_02
IBE_03_A,ibe7607_01,Home Length of Residence - 100%,IBE7607_01,7607_01
IBE_03_A,ibe7607_02,Home Length of Residence - 100% - Precision Level,IBE7607_02,7607_02
IBE_03_A,ibe7609_01,Marital Status in the Household - 100%,IBE7609_01,7609_01
IBE_03_A,ibe7609_02,Marital Status in the Household - 100% - Precision Level,IBE7609_02,7609_02
IBE_03_A,ibe7616_01,Age in Two-Year Increments - 1st Person in Household - 100%,IBE7616_01,7616_01
IBE_03_A,ibe7616_02,Age in Two-Year Increments - 1st Person in Household - 100% - Precision Level,IBE7616_02,7616_02
IBE_03_A,ibe7622_01,Presence of Children - 100%,IBE7622_01,7622_01
IBE_03_A,ibe7622_02,Presence of Children - 100% - Precision Level,IBE7622_02,7622_02
IBE_03_A,ibe7628_01,Adults - Number in Household - 100%,IBE7628_01,7628_01
IBE_03_A,ibe7628_02,Adults - Number in Household - 100% - Precision Level,IBE7628_02,7628_02
IBE_03_A,ibe7629_01,Household Size - 100%,IBE7629_01,7629_01
IBE_03_A,ibe7629_02,Household Size - 100% - Precision Level,IBE7629_02,7629_02
IBE_03_A,ibe7641_01,Income - Estimated Household - Broad Ranges - 100%,IBE7641_01,7641_01
IBE_03_A,ibe7641_02,Income - Estimated Household - Broad Ranges - 100% - Precision Level,IBE7641_02,7641_02
IBE_03_A,ibe7650_01,Education - 1st Person in Household - 100%,IBE7650_01,7650_01
IBE_03_A,ibe7650_02,Education - 1st Person in Household - 100% - Precision Level,IBE7650_02,7650_02
IBE_03_A,ibe7671_01,Income - Estimated Household - Narrow Ranges - 100%,IBE7671_01,7671_01
IBE_03_A,ibe7671_02,Income - Estimated Household - Narrow Ranges - 100% - Precision Level,IBE7671_02,7671_02
IBE_03_A,ibe7719,Wireless Product Buyer,IBE7719,7719
IBE_03_A,ibe7720,Fashion,IBE7720,7720
IBE_03_A,ibe7721,History/Military,IBE7721,7721
IBE_03_A,ibe7723,Celebrities,IBE7723,7723
IBE_03_A,ibe7724,Current Affairs/Politics,IBE7724,7724
IBE_03_A,ibe7725,Theater/Performing Arts,IBE7725,7725
IBE_03_A,ibe7726,Community/Charities,IBE7726,7726
IBE_03_A,ibe7727,Religious/Inspirational,IBE7727,7727
IBE_03_A,ibe7728,Science/Space,IBE7728,7728
IBE_03_A,ibe7730,Career Improvement,IBE7730,7730
IBE_03_A,ibe7732,Arts,IBE7732,7732
IBE_03_A,ibe7733,Reading - General,IBE7733,7733
IBE_03_A,ibe7734,Reading - Best Sellers,IBE7734,7734
IBE_03_A,ibe7735,Reading - Religious/Inspirational,IBE7735,7735
IBE_03_A,ibe7736,Reading - Science Fiction,IBE7736,7736
IBE_04,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_04,ibe7737,Reading - Magazines,IBE7737,7737
IBE_04,ibe7738,Reading - Audio Books,IBE7738,7738
IBE_04,ibe7739,Cooking - General,IBE7739,7739
IBE_04,ibe7740,Cooking - Gourmet,IBE7740,7740
IBE_04,ibe7741,Cooking - Low Fat,IBE7741,7741
IBE_04,ibe7743,Foods - Natural,IBE7743,7743
IBE_04,ibe7744,Travel - Domestic,IBE7744,7744
IBE_04,ibe7746,Recreational Vehicle,IBE7746,7746
IBE_04,ibe7747,Travel - Family Vacations,IBE7747,7747
IBE_04,ibe7748,Travel - Cruise Vacations,IBE7748,7748
IBE_04,ibe7750,Exercise - Running/Jogging,IBE7750,7750
IBE_04,ibe7751,Exercise - Walking,IBE7751,7751
IBE_04,ibe7753,Crafts,IBE7753,7753
IBE_04,ibe7754,Photography,IBE7754,7754
IBE_04,ibe7755,Aviation,IBE7755,7755
IBE_04,ibe7756,Auto Work,IBE7756,7756
IBE_04,ibe7757,Sewing/Knitting/Needlework,IBE7757,7757
IBE_04,ibe7758,Woodworking,IBE7758,7758
IBE_04,ibe7759,Games - Board Games/Puzzles,IBE7759,7759
IBE_04,ibe7761,Music Player,IBE7761,7761
IBE_04,ibe7762,Music Collector,IBE7762,7762
IBE_04,ibe7763,Music - Avid Listener,IBE7763,7763
IBE_04,ibe7764,Movie Collector,IBE7764,7764
IBE_04,ibe7768,Movies at Home,IBE7768,7768
IBE_04,ibe7770,Health/Medical,IBE7770,7770
IBE_04,ibe7771,Dieting/Weight Loss,IBE7771,7771
IBE_04,ibe7772,Self Improvement,IBE7772,7772
IBE_04,ibe7773,Cat Owner,IBE7773,7773
IBE_04,ibe7774,Dog Owner,IBE7774,7774
IBE_04,ibe7775,Other Pet Owner,IBE7775,7775
IBE_04,ibe7777,Parenting,IBE7777,7777
IBE_04,ibe7779,Children's Interests,IBE7779,7779
IBE_04,ibe7780,Grandchildren,IBE7780,7780
IBE_04,ibe7781,Spectator Sports - Auto/Motorcycle Racing,IBE7781,7781
IBE_04,ibe7782,Spectator Sports - Football,IBE7782,7782
IBE_04,ibe7783,Spectator Sports - Baseball,IBE7783,7783
IBE_04,ibe7784,Spectator Sports - Basketball,IBE7784,7784
IBE_04,ibe7785,Spectator Sports - Hockey,IBE7785,7785
IBE_04,ibe7786,Spectator Sports - Soccer,IBE7786,7786
IBE_04,ibe7788,Collectibles - General,IBE7788,7788
IBE_04,ibe7789,Collectibles - Stamps,IBE7789,7789
IBE_04,ibe7790,Collectibles - Coins,IBE7790,7790
IBE_04,ibe7791,Collectibles - Arts,IBE7791,7791
IBE_04,ibe7792,Collectibles - Antiques,IBE7792,7792
IBE_04,ibe7793,Investments - Personal,IBE7793,7793
IBE_04,ibe7794,Investments - Real Estate,IBE7794,7794
IBE_04,ibe7795,Investments - Stocks/Bonds,IBE7795,7795
IBE_04,ibe7796,Computers,IBE7796,7796
IBE_04,ibe7799,Games - Computer Games,IBE7799,7799
IBE_04,ibe7801,Consumer Electronics,IBE7801,7801
IBE_04,ibe7802,Fishing,IBE7802,7802
IBE_04,ibe7803,Camping/Hiking,IBE7803,7803
IBE_04,ibe7804,Hunting/Shooting,IBE7804,7804
IBE_04,ibe7805,Boating/Sailing,IBE7805,7805
IBE_04,ibe7807,Scuba Diving,IBE7807,7807
IBE_04,ibe7808,Biking/Mountain Biking,IBE7808,7808
IBE_04,ibe7809,Environmental Issues,IBE7809,7809
IBE_04,ibe7810,Tennis,IBE7810,7810
IBE_04,ibe7811,Golf,IBE7811,7811
IBE_04,ibe7812,Snow Skiing,IBE7812,7812
IBE_04,ibe7813,Motorcycling,IBE7813,7813
IBE_04,ibe7814,Equestrian,IBE7814,7814
IBE_04,ibe7815,Home Furnishings/Decorating,IBE7815,7815
IBE_04,ibe7816,Home Improvement,IBE7816,7816
IBE_04,ibe7817,Gardening,IBE7817,7817
IBE_04,ibe7821,Sweepstakes/Contests,IBE7821,7821
IBE_04,ibe7822,Sports Grouping,IBE7822,7822
IBE_04,ibe7823,Outdoors Grouping,IBE7823,7823
IBE_04,ibe7824,Travel Grouping,IBE7824,7824
IBE_04,ibe7825,Reading Grouping,IBE7825,7825
IBE_04,ibe7826,Cooking/Food Grouping,IBE7826,7826
IBE_04,ibe7827,Exercise/Health Grouping,IBE7827,7827
IBE_04,ibe7828,Movie/Music Grouping,IBE7828,7828
IBE_04,ibe7829,Electronics/Computers Grouping,IBE7829,7829
IBE_04,ibe7830,Home Improvement Grouping,IBE7830,7830
IBE_04,ibe7831,Investing/Finance Grouping,IBE7831,7831
IBE_04,ibe7832,Collectibles and Antiques Grouping,IBE7832,7832
IBE_04,ibe7841,Career,IBE7841,7841
IBE_04,ibe7843,Collectibles - Sports Memorabilia,IBE7843,7843
IBE_04,ibe7844,Education Online,IBE7844,7844
IBE_04,ibe7847,NASCAR,IBE7847,7847
IBE_04,ibe7848,Reading - Financial Newsletter Subscribers,IBE7848,7848
IBE_04,ibe7849,Beauty/Cosmetics,IBE7849,7849
IBE_04,ibe7851,Home Improvement - Do-It-Yourselfers,IBE7851,7851
IBE_04,ibe7856,Cooking/Food Connoisseur,IBE7856,7856
IBE_04,ibe7860,Do-It-Yourselfer/Gardener,IBE7860,7860
IBE_04_A,customer_user_id,Customer User ID,CUSTOMER_USER_ID,CUSTOMER_BASE_ID
IBE_04_A,ibe7964b_01,Geo Block Code,IBE7964B_01,7964B_01
IBE_04_A,ibe7964b_02,Geo Block Group Code,IBE7964B_02,7964B_02
IBE_04_A,ibe7964b_03,Geo Core Based Statistical Area (CBSA) Code,IBE7964B_03,7964B_03
IBE_04_A,ibe7964b_07,Geo Designated Marketing Area (DMA) Code,IBE7964B_07,7964B_07
IBE_04_A,ibe7964b_09,Geo FIPS County Code,IBE7964B_09,7964B_09
IBE_04_A,ibe7964b_11,Geo FIPS State Code,IBE7964B_11,7964B_11
IBE_04_A,ibe7964b_12,Geo FIPS State Name,IBE7964B_12,7964B_12
IBE_04_A,ibe7964b_13,Geo Minor Civil Division (MCD) Code,IBE7964B_13,7964B_13
IBE_04_A,ibe7964b_15,Geo Nielsen County Size Code,IBE7964B_15,7964B_15
IBE_04_A,ibe7964b_16,Geo Place Code,IBE7964B_16,7964B_16
IBE_04_A,ibe7964b_18,Geo Precision Level Code,IBE7964B_18,7964B_18
IBE_04_A,ibe7964b_20,Geo Tract Code,IBE7964B_20,7964B_20
IBE_04_A,ibe7994b_01,Geo Latitude,IBE7994B_01,7994B_01
IBE_04_A,ibe7994b_02,Geo Longitude,IBE7994B_02,7994B_02
IBE_04_A,ibe8082,SOHO Indicator,IBE8082,8082
IBE_04_A,ibe8165_01,Vehicle - Truck Owner,IBE8165_01,8165_01
IBE_04_A,ibe8165_02,Vehicle - Motorcycle Owner,IBE8165_02,8165_02
IBE_04_A,ibe8165_03,Vehicle - Recreational Vehicle Owner,IBE8165_03,8165_03
IBE_04_A,ibe8167_01,Mail Order Buyer Categories - Apparel Female,IBE8167_01,8167_01
IBE_04_A,ibe8167_02,Mail Order Buyer Categories - Apparel Jewelry,IBE8167_02,8167_02
IBE_04_A,ibe8167_03,Mail Order Buyer Categories - Apparel Male,IBE8167_03,8167_03
IBE_04_A,ibe8167_04,Mail Order Buyer Categories - Apparel Women's Plus Sizes,IBE8167_04,8167_04
IBE_04_A,ibe8167_05,Mail Order Buyer Categories - Apparel Teen Fashion,IBE8167_05,8167_05
IBE_04_A,ibe8167_06,Mail Order Buyer Categories - Apparel Unknown Type,IBE8167_06,8167_06
IBE_04_A,ibe8167_07,Mail Order Buyer Categories - Arts and Antiques,IBE8167_07,8167_07
IBE_04_A,ibe8167_08,Mail Order Buyer Categories - Arts and Crafts,IBE8167_08,8167_08
IBE_04_A,ibe8167_09,Mail Order Buyer Categories - Auto Supplies,IBE8167_09,8167_09
IBE_04_A,ibe8167_10,Mail Order Buyer Categories - Beauty,IBE8167_10,8167_10
IBE_04_A,ibe8167_11,Mail Order Buyer Categories - Books,IBE8167_11,8167_11
IBE_04_A,ibe8167_12,Mail Order Buyer Categories - Children's Merchandise,IBE8167_12,8167_12
IBE_04_A,ibe8167_13,Mail Order Buyer Categories - Collectibles,IBE8167_13,8167_13
IBE_04_A,ibe8167_14,Mail Order Buyer Categories - Computer Software,IBE8167_14,8167_14
IBE_04_A,ibe8167_15,Mail Order Buyer Categories - Electronics,IBE8167_15,8167_15
IBE_04_A,ibe8167_16,Mail Order Buyer Categories - Equestrian,IBE8167_16,8167_16
IBE_04_A,ibe8167_17,Mail Order Buyer Categories - Food,IBE8167_17,8167_17
IBE_04_A,ibe8167_18,Mail Order Buyer Categories - General Gifts and Merchandise,IBE8167_18,8167_18
IBE_04_A,ibe8167_19,Mail Order Buyer Categories - Gifts,IBE8167_19,8167_19
IBE_04_A,ibe8167_20,Mail Order Buyer Categories - Health,IBE8167_20,8167_20
IBE_04_A,ibe8167_21,Mail Order Buyer Categories - Home Furnishings and Decorating,IBE8167_21,8167_21
IBE_04_A,ibe8167_22,Mail Order Buyer Categories - High Ticket Merchandise,IBE8167_22,8167_22
IBE_04_A,ibe8167_23,Mail Order Buyer Categories - Low Ticket Merchandise,IBE8167_23,8167_23
IBE_04_A,ibe8167_24,Mail Order Buyer Categories - Music,IBE8167_24,8167_24
IBE_04_A,ibe8167_25,Mail Order Buyer Categories - Outdoor Gardening,IBE8167_25,8167_25
IBE_04_A,ibe8167_26,Mail Order Buyer Categories - Outdoor Hunting and Fishing,IBE8167_26,8167_26
IBE_04_A,ibe8167_27,Mail Order Buyer Categories - Pet Supplies,IBE8167_27,8167_27
IBE_04_A,ibe8167_28,Mail Order Buyer Categories - Sports Golf,IBE8167_28,8167_28
IBE_04_A,ibe8167_29,Mail Order Buyer Categories - Sports,IBE8167_29,8167_29
IBE_04_A,ibe8167_30,Mail Order Buyer Categories - Travel,IBE8167_30,8167_30
IBE_04_A,ibe8167_31,Mail Order Buyer Categories - Video DVD,IBE8167_31,8167_31
IBE_04_A,ibe8177,Mail Order Donor,IBE8177,8177
IBE_04_A,ibe8201,Income - Estimated Household - Higher Ranges,IBE8201,8201
IBE_04_A,ibe8236,Money Seekers,IBE8236,8236
IBE_04_A,ibe8257,Spectator Sports - TV Sports,IBE8257,8257
IBE_04_A,ibe8263,Collector - Avid,IBE8263,8263
IBE_04_A,ibe8271,Home Living,IBE8271,8271
IBE_04_A,ibe8272,DIY Living,IBE8272,8272
IBE_04_A,ibe8274,Sporty Living,IBE8274,8274
IBE_04_A,ibe8276,Upscale Living,IBE8276,8276
IBE_04_A,ibe8277,Cultural/Artistic Living,IBE8277,8277
IBE_04_A,ibe8278,Highbrow Living,IBE8278,8278
IBE_04_A,ibe8279,High-Tech Living,IBE8279,8279
IBE_04_A,ibe8321,Common Living,IBE8321,8321
IBE_04_A,ibe8322,Professional Living,IBE8322,8322
IBE_04_A,ibe8326,Broader Living,IBE8326,8326
IBE_04_A,ibe8337,Highly Likely Investor,IBE8337,8337
IBE_04_A,ibe8339,Likely Investor,IBE8339,8339
IBE_04_A,ibe8433,Investment - Estimated Residential Properties Owned (Real Property data only),IBE8433,8433
IBE_04_A,ibe8436,Home Length of Residence - Broad Ranges (Real Property data only),IBE8436,8436
IBE_04_A,ibe8437,Home Loan Amount Total - Original - Ranges (Real Property data only),IBE8437,8437
IBE_04_A,ibe8438,Home Market Value - Estimated - Ranges (Real Property data only),IBE8438,8438
IBE_04_A,ibe8439,Home Lot Square Footage - Ranges (Real Property data only),IBE8439,8439
IBE_04_A,ibe8440,Home Year Built - Ranges (Real Property data only),IBE8440,8440
IBE_04_A,ibe8441,Home Square Footage - Ranges (Real Property data only),IBE8441,8441
IBE_04_A,ibe8442,Home Room Count (Real Property data only),IBE8442,8442
IBE_04_A,ibe8443,Home Heating / Cooling (Real Property data only),IBE8443,8443
IBE_04_A,ibe8444,Home Exterior (Real Property data only),IBE8444,8444
IBE_04_A,ibe8445,Home Roof Type (Real Property data only),IBE8445,8445
IBE_04_A,ibe8446,Site Zip (Real Property data only),IBE8446,8446
